Date,Production (tonnes),Electricity (kWh),Natural Gas (m³),Water (m³),CO2 Emissions (kg),NOx Emissions (kg),SOx Emissions (kg),Waste Generated (kg),Waste Recycled (kg),Employees on Site,Safety Incidents
2021-03-14,895,691835,103820,1941.1795645579648,924535,480.8865096334802,685.1351382763177,56385,58175,166,0
2021-03-15,987,745185,135219,2218.0307518953105,987987,837.8081871483997,436.91867230577,59220,68103,155,0
2021-03-16,1152,694656,144000,2134.5039320995343,1125504,1022.5571167283363,772.2634420385398,156672,40320,151,0
2021-03-17,1013,674658,190444,2804.1633329288156,1015026,940.0058077803325,317.6503560990351,86105,88131,164,0
2021-03-18,881,734754,175319,2556.701653602857,796424,636.6376196250814,459.92328779601,72242,56384,196,0
2021-03-19,1081,851828,177284,2324.1530992122107,998844,1053.2094382568023,815.3496782520466,71346,64860,164,0
2021-03-20,832,694720,91520,2450.735863466894,835328,1036.4094997895952,594.9230654928052,48256,77376,196,0
2021-03-21,1080,730080,132840,1842.8104024158063,1058400,1424.8490111351582,792.7274244213737,74520,64800,153,0
2021-03-22,894,597192,170754,1642.5943912082698,916350,1073.8730090755723,496.55489038464736,63474,32184,167,0
2021-03-23,919,727848,96495,2052.9703192303223,903377,1072.7559207617728,556.2243858479827,94657,80872,193,0
2021-03-24,996,853572,177288,2829.658613875832,880464,1234.9409756554946,313.9411555693951,95616,86652,159,0
2021-03-25,1183,974792,198744,3324.7894448477214,1005550,1276.2716272831926,475.1521694083786,100555,65065,158,0
2021-03-26,985,761405,186165,2863.673163182692,911125,1355.4832619033084,398.1062884497464,87665,32505,185,0
2021-03-27,925,673400,110075,2330.5761534167364,789950,978.4802541327375,715.7450037611156,131350,45325,172,0
2021-03-28,841,736716,96715,2493.052326394535,721578,794.9058139716121,545.8310664167544,126150,49619,151,0
2021-03-29,943,619551,131077,2538.6728013030083,888306,572.7949687347706,535.9999744607658,48093,73554,190,0
2021-03-30,1077,863754,173397,3148.6507116085063,962838,1464.6200438642236,606.3531435299456,59235,59235,185,0
2021-03-31,1177,1053415,182435,2553.7970377155493,1174646,634.9365039033294,471.0012532144743,87098,47080,155,0
2021-04-01,1026,627912,159030,2316.6628762888913,967518,984.5114533249372,809.57920982975,128250,63612,171,0
2021-04-02,811,565267,90832,1736.0115760637093,695838,852.9829238906623,341.63041126039616,49471,68124,166,0
2021-04-03,1142,963848,155312,2726.887688303755,1048356,883.2770032066559,813.4114381454658,101638,61668,177,0
2021-04-04,1172,774692,212132,2368.8681181214424,1094648,1170.5446093753471,463.5375832633177,132436,50396,159,0
2021-04-05,1047,694161,152862,1758.5224564028717,963240,1404.6342074275415,473.32621794709706,81666,50256,181,0
2021-04-06,1128,802008,136488,2800.8989908783105,1142664,1525.3436450290028,828.7202863330493,82344,93624,179,0
2021-04-07,1080,765720,209520,2304.185521098772,1011960,994.1301972904131,332.87669609024726,113400,88560,157,0
2021-04-08,1122,997458,222156,1976.7749105150185,1089462,931.8438167873741,692.2833649277175,164934,105468,166,0
2021-04-09,1101,720054,194877,2295.5859641500256,942456,1555.4456868156694,867.7520256076918,118908,58353,164,0
2021-04-10,996,642420,194220,2543.4541908861715,954168,1013.8974197952899,636.076549939649,59760,51792,153,0
2021-04-11,983,684168,114028,1584.6863999118896,860125,906.4093405474533,320.063240828343,110096,87487,199,0
2021-04-12,930,742140,163680,2526.981491848246,798870,1038.9808487373039,409.4061063937262,133920,54870,150,0
2021-04-13,908,816292,151636,1405.6276278965602,845348,484.13178680558826,474.8317254669944,70824,36320,161,0
2021-04-14,860,530620,172000,1532.788415039324,880640,1032.1429411795689,580.9511229651042,43000,36980,167,0
2021-04-15,1188,1059696,128304,1896.805232982229,1022868,1410.4056902518994,949.7138188581376,92664,64152,173,0
2021-04-16,927,733257,144612,2318.1916673169194,860256,847.5534820285718,692.752877469827,74160,28737,176,0
2021-04-17,1019,646046,186477,2920.522776558507,951746,1366.53048014257,329.38419088009044,79482,91710,183,0
2021-04-18,1011,633897,144573,2848.7882090174858,968538,572.8408634821604,434.43654113614434,140529,42462,152,0
2021-04-19,1082,728186,177448,3215.185543130184,1061442,1568.8838721165132,807.0465628078305,157972,68166,153,0
2021-04-20,827,535896,100067,2178.482407231062,828654,618.1836140198919,458.2330543048255,46312,34734,196,0
2021-04-21,962,825396,152958,2723.2747757699112,819624,481.3683323543527,439.4838465277504,70226,80808,169,0
2021-04-22,1158,870816,144750,2912.708871955805,986616,832.739019555361,825.5469939993004,90324,41688,179,0
2021-04-23,872,763000,128184,2401.387416811002,904264,1182.2707895026983,530.3543561549284,105512,76736,159,0
2021-04-24,1078,819280,186494,3075.6344488376503,1029490,1248.7294064640935,328.81295594760036,144452,46354,155,1
2021-04-25,1134,1019466,141750,2423.8454960985177,989982,662.4936418085384,429.7429240736684,108864,34020,196,0
2021-04-26,1056,805728,201696,2722.5816079046144,1002144,1117.3839765209402,339.5300600608756,153120,48576,151,0
2021-04-27,851,588041,87653,1360.4813545496745,857808,748.7573662743872,405.63286981688424,63825,67229,176,0
2021-04-28,941,790440,170321,1976.7923396724248,944764,977.582791783799,427.6040658931077,53637,41404,166,0
2021-04-29,810,652860,114210,2124.2288107740605,799470,1133.2515395361554,338.6781893149811,64800,67230,199,0
2021-04-30,878,702400,131700,1898.5627915365526,842002,908.4128298515647,387.1636251210197,118530,67606,155,0
2021-05-01,1015,819105,187775,2991.070014143732,1064735,572.4101925858337,616.9545289797586,124845,33495,163,0
2021-05-02,1107,733941,218079,2678.0889537102694,1040580,1132.5567526871741,609.8500323557839,71955,98523,153,0
2021-05-03,1029,677082,120393,1827.8040189279961,1075305,1396.0012048937506,552.2581791011947,65856,97755,158,0
2021-05-04,1087,940255,193486,1783.6452876592853,1023954,1190.134553122202,817.5255656988606,70655,65220,172,0
2021-05-05,896,545664,154112,1579.0409213436465,791168,1044.547445414149,473.63011899216883,112896,43008,167,0
2021-05-06,1124,737344,174220,2529.6344588034535,979004,892.1285514714264,845.6160303184298,104532,103408,183,0
2021-05-07,1129,811751,116287,2038.4501516002558,1117710,1235.9042488879331,583.3688067064094,100481,38386,168,0
2021-05-08,1090,967920,218000,1911.4981949716062,1112890,1140.7437123647433,827.7450739802704,122080,64310,182,0
2021-05-09,986,657662,104516,2721.9108660833117,922896,1081.6101080451344,333.5991892228797,71978,52258,175,0
2021-05-10,930,651000,102300,1727.9421612352298,959760,729.527508442236,361.52564699312416,50220,53010,196,0
2021-05-11,932,689680,99724,2707.880888314109,880740,969.260378308999,540.7197171946082,68036,79220,180,0
2021-05-12,1032,813216,133128,2519.8274411891343,1061928,712.3549423706974,731.9795683868826,129000,42312,175,0
2021-05-13,916,661352,154804,1997.7225973884288,817072,792.7462415397262,603.0758533436837,117248,88852,166,0
2021-05-14,857,621325,119123,2510.071871176042,871569,698.6240661380333,578.3130305096829,68560,34280,186,0
2021-05-15,868,546840,171864,2277.556724111522,815920,771.8658872474831,418.3153975354481,112840,48608,157,0
2021-05-16,1086,882918,119460,2348.7384661928336,931788,1026.0040033527325,560.0946510899767,66246,69504,160,0
2021-05-17,941,779148,119507,1499.4379252916656,890186,1137.434761882181,440.00612204029187,65870,77162,178,0
2021-05-18,899,613118,135749,1658.3180936985095,769544,723.8634220677912,503.3171789250685,130355,50344,151,0
2021-05-19,1084,959340,145256,3235.639851570107,1022212,1414.7616209624068,617.6044511579037,80216,96476,173,0
2021-05-20,890,710220,162870,2246.291374324541,921150,611.4056120004625,449.2269195347499,96120,71200,161,0
2021-05-21,1095,985500,209145,2790.3517066478535,981120,603.4035146634718,777.0576810032479,94170,71175,174,0
2021-05-22,851,519110,137862,2231.341339260877,879934,702.7194313463946,268.0305802614478,79143,64676,190,0
2021-05-23,955,690465,177630,1744.8368478034163,970280,1152.6577199272417,424.5748262162141,47750,36290,156,0
2021-05-24,1132,844472,133576,2031.4112277947195,1055024,964.0386083289708,361.2523151614245,165272,59996,186,0
2021-05-25,951,704691,98904,2771.6978624889066,900597,725.7441408599167,289.9715806628003,109365,79884,184,0
2021-05-26,971,671932,150505,2521.2064487183115,948667,918.5367714523964,418.97477089779255,75738,43695,153,0
2021-05-27,903,798252,129129,2111.445836187537,939120,773.7326116703391,409.574040962299,119196,84882,167,0
2021-05-28,1009,858659,191710,2543.0813911167143,1054405,515.6435813383482,446.04088751167416,88792,59531,163,0
2021-05-29,976,690032,110288,1623.844233342475,914512,962.1879800713277,663.9345163735538,63440,53680,163,0
2021-05-30,1112,669424,201272,3052.4204528631467,979672,879.1116519441943,651.9892488460218,63384,66720,200,0
2021-05-31,815,726165,123880,1996.623121864619,759580,777.5451830294039,521.9038592650037,102690,66830,154,0
2021-06-01,890,759170,138840,1716.2163779448422,825920,967.5053728915441,339.9875596374162,74760,46280,158,0
2021-06-02,818,519430,97342,1540.4926787204413,785280,560.1419416879323,493.4350840940837,89980,78528,155,0
2021-06-03,951,608640,162621,2180.154183324042,928176,1333.240024510908,738.6339817991536,134091,50403,174,0
2021-06-04,1191,937317,132201,2345.034791119601,1236258,741.0807564546802,400.7045630967732,123864,73842,162,0
2021-06-05,1187,935356,163806,3323.4033246733725,1135959,1170.1295212145396,436.0116367402489,154310,112765,152,0
2021-06-06,1003,650947,144432,1918.3679519652067,941817,1491.073040886537,679.5705189109225,65195,93279,185,0
2021-06-07,949,654810,98696,2750.499711514859,902499,963.3781110697578,513.829022491135,52195,94900,191,0
2021-06-08,967,655626,142149,2797.020342644582,902211,1244.0942279051271,559.2211294720515,64789,70591,158,0
2021-06-09,1025,733900,188600,1822.1613067417775,1055750,1332.7201349411716,786.0096667234866,99425,88150,153,0
2021-06-10,968,771496,181016,2660.6499601446403,964128,712.2320321238888,658.7356483449532,52272,65824,165,0
2021-06-11,1153,1037700,142972,3135.70734780322,1053842,698.323204369915,491.08272992175915,96852,54191,157,0
2021-06-12,981,627840,103005,2669.9514628816814,916254,1081.1226650351514,435.18512697056485,55917,30411,161,0
2021-06-13,973,873754,192654,2424.3891330182937,904890,698.5201874084473,659.7880009706054,122598,93408,196,0
2021-06-14,944,758976,132160,2127.1000780221434,874144,1160.5456347665752,364.8315696171007,87792,89680,161,0
2021-06-15,1067,709555,138710,1691.0468670456723,1020052,1388.3496048059444,559.831031147415,157916,68288,177,0
2021-06-16,1095,756645,205860,2647.8626957232887,1055580,1439.1758560386713,633.9968198502447,94170,33945,174,0
2021-06-17,817,549024,101308,1910.075943791847,785954,457.45793267847597,628.6345982961411,88236,43301,158,0
2021-06-18,807,648828,122664,1828.5867201956157,791667,497.14905055410765,257.72831684789156,118629,33894,191,0
2021-06-19,1051,745159,167109,2417.354533309145,939594,1576.4214118532414,523.626778647063,96692,47295,158,0
2021-06-20,1122,736032,117810,3075.1761870951177,1045704,1492.7326631268802,883.3467437906734,99858,93126,187,0
2021-06-21,1120,866880,218400,2527.6859037100016,994560,1357.6681418050648,652.0150132649059,163520,71680,200,0
2021-06-22,1167,1005954,152877,1937.7511999723956,1182171,926.6738392645836,710.4104766618558,88692,46680,162,0
2021-06-23,1200,954000,224400,2801.781107319888,1153200,973.7144055622691,947.8641433678243,141600,69600,156,0
2021-06-24,900,699300,113400,2077.2520798958813,915300,983.0938100554473,548.0939221241428,113400,63000,182,0
2021-06-25,1110,672660,197580,1997.0839903074834,1061160,1032.5436433971265,454.47971775077815,97680,83250,157,0
2021-06-26,888,795648,130536,1708.5799692193766,825840,486.20629528484994,644.0078357956556,53280,87912,196,0
2021-06-27,826,664930,92512,1880.375103949436,746704,747.0160245125376,271.90675463359696,107380,45430,193,0
2021-06-28,1069,930030,159281,2247.5248182895257,1072207,963.68130799691,342.33513918664636,105831,104762,193,0
2021-06-29,1182,913686,165480,2689.8493842898865,1073256,722.7793145221142,456.14598839803637,157206,62646,178,0
2021-06-30,872,646152,123824,1548.8473922398457,803112,641.0961707257333,560.8211749998763,130800,26160,199,0
2021-07-01,812,624428,86884,1871.464861392285,694260,423.805667165007,446.5266081533316,112868,28420,150,0
2021-07-02,963,766548,98226,1648.8907645327183,971667,969.4288382269995,293.45340934298247,101115,86670,175,0
2021-07-03,868,541632,112840,1588.9096804963613,762104,1196.3839943968037,644.8884012999961,90272,53816,151,0
2021-07-04,1175,831900,146875,1955.8863960656524,1075125,854.7446223145964,850.2119230015221,108100,84600,154,0
2021-07-05,1105,692835,163540,2374.037681598609,964665,1251.0757038700788,832.55874904023,96135,48620,166,0
2021-07-06,853,699460,149275,2477.7366000339575,757464,1143.7746930871424,397.9216127490428,46915,69946,182,0
2021-07-07,945,736155,103950,1776.42282639177,894915,906.6599608807772,436.566078751687,64260,77490,192,0
2021-07-08,920,803160,108560,1518.3569700828791,806840,1106.2568339646007,456.7715605619323,86480,85560,179,0
2021-07-09,813,612189,135771,2071.04860412333,708936,818.3077879460985,355.0639044516451,59349,43902,163,0
2021-07-10,1152,950400,161280,3106.5384731505305,981504,1178.712562010767,729.8842086383767,97920,89856,191,0
2021-07-11,1091,915349,138557,2524.0061625751778,1061543,675.477230441161,794.5691377918441,77461,91644,179,0
2021-07-12,957,767514,159819,2654.969542554138,988581,769.9319652949935,500.01305995251596,117711,88044,156,0
2021-07-13,1064,638400,165984,1963.0843903023465,983136,1151.468511321521,735.5305348424915,127680,100016,165,0
2021-07-14,877,529708,121026,1883.1671279451127,852444,1166.983758042736,329.0253412084633,56128,44727,181,0
2021-07-15,1180,719800,123900,2413.8369157076927,1208320,1530.5182201927403,866.940506592644,143960,106200,153,0
2021-07-16,948,583968,121344,2707.17049563823,982128,726.592311953719,688.2080444466294,128928,51192,175,0
2021-07-17,969,769386,102714,2010.0338633853312,989349,1074.1902543774413,427.37094197261774,61047,57171,164,0
2021-07-18,879,576624,133608,1436.2820139511834,759456,604.3312484841707,605.975214775705,93174,72957,185,0
2021-07-19,863,722331,110464,2509.005793030675,800864,620.1236340417225,391.5182281721022,98382,56958,200,0
2021-07-20,823,703665,96291,1588.797177976279,857566,544.9200190648561,258.35926668620687,110282,34566,178,0
2021-07-21,1066,748332,160966,2462.3937045266493,1096914,1233.9759200734375,458.9090131439203,119392,73554,153,0
2021-07-22,946,801262,113520,2686.4137983381947,849508,1212.2831521509456,706.9141560769474,127710,48246,166,0
2021-07-23,999,618381,182817,2229.533853367414,904095,1328.951395047275,306.13970599257385,64935,94905,166,0
2021-07-24,965,624355,175630,1811.5844754878838,926400,881.5645210085763,328.24583729838633,122555,33775,180,0
2021-07-25,832,572416,158080,1739.782003931792,715520,806.0350456213289,366.29263672649034,121472,49088,166,0
2021-07-26,937,808631,113377,2247.6421305167864,892961,980.06400929956,309.0834208934715,123684,43102,199,0
2021-07-27,1144,936936,125840,2205.5950511383694,1026168,1517.254979892715,604.9550391366837,164736,104104,168,0
2021-07-28,910,740740,114660,1912.8530618826508,930930,913.9495634523622,339.68677880218075,70070,57330,178,0
2021-07-29,1146,933990,218886,2963.6779115099243,1058904,1532.3790831695865,604.6033002976436,160440,64176,159,0
2021-07-30,1144,942656,220792,1903.3862554461755,1173744,1193.7515084539336,863.064460318,94952,97240,151,0
2021-07-31,1159,887794,164578,2731.7087133549994,1147410,873.9829641124171,802.9046245304963,140239,50996,185,0
2021-08-01,984,673056,154488,2742.5890779599704,837384,669.6960276251863,622.6574366001354,123984,66912,180,0
2021-08-02,1044,705744,130500,1667.3446370457245,1059660,610.74557189986,320.1789721540901,122148,62640,184,0
2021-08-03,980,661500,182280,1874.0106346266884,938840,814.5330081213368,597.3723252577337,135240,41160,185,0
2021-08-04,971,827292,171867,1983.7165718313606,932160,1135.750901183093,329.3213399869918,129143,60202,157,0
2021-08-05,830,514600,136950,2195.1282768748806,838300,761.4561400327832,596.2862553255376,58100,59760,198,0
2021-08-06,1128,937368,192888,1736.0019864926264,1168608,738.1003004553075,642.0505485841334,165816,58656,170,0
2021-08-07,955,777370,123195,1830.2382418617815,976010,1025.5361221851947,576.889199215721,90725,47750,176,0
2021-08-08,898,752524,158048,2224.7098696121743,855794,514.2638108365566,557.5270208599079,61064,79922,166,0
2021-08-09,857,533054,107125,1940.150226026004,789297,800.952571458507,480.00122065018235,107982,42850,159,0
2021-08-10,949,842712,180310,1685.4858396283441,925275,707.694672547062,568.7816513197221,123370,39858,184,0
2021-08-11,899,763251,167214,2306.191084944233,879222,598.8033367805123,417.9339847927914,44950,31465,161,0
2021-08-12,1142,810820,149602,2058.55278494442,1179686,1635.4011522270869,469.7749224104972,93644,70804,161,0
2021-08-13,867,625107,149124,2082.6085238793653,785502,852.5903495686609,445.1621200980151,105774,26010,155,0
2021-08-14,970,700340,143560,2664.8841166983966,850690,1108.6258931533011,342.4380827303607,48500,76630,191,0
2021-08-15,852,520572,97980,2201.4779642542335,731868,640.0384891742419,511.89720244448813,72420,53676,185,0
2021-08-16,887,702504,146355,1548.5023268279638,847085,761.5254071394867,460.9004358041692,46124,73621,185,0
2021-08-17,869,675213,128612,1560.6366750863656,869000,1089.7751280374282,487.59954764534353,121660,63437,165,0
2021-08-18,870,557670,95700,2232.7853058403534,796050,1211.596981468183,624.9549781463788,50460,77430,152,0
2021-08-19,1052,671176,110460,2091.894370555576,1070936,743.4111443157032,764.3413326333707,69432,36820,176,0
2021-08-20,1145,703030,184345,2514.316349204843,1116375,1545.5218176730912,638.2331089377287,65265,58395,181,0
2021-08-21,1179,838269,154449,2205.1633409127617,1012761,1052.6216153532193,480.00753969649236,108468,47160,160,0
2021-08-22,868,671832,149296,2535.279722279455,820260,884.6803257926707,276.2167011840228,49476,62496,194,0
2021-08-23,1144,879736,128128,1719.2313311161251,1109680,896.7278815395097,675.5914603570925,168168,113256,152,0
2021-08-24,1153,971979,148737,3454.4366727270126,1051536,1027.9169841292257,762.7091283210694,80710,42661,183,0
2021-08-25,996,650388,181272,2761.175973047421,852576,544.5953384873116,337.41389612936473,133464,81672,164,0
2021-08-26,1131,827892,219414,1989.1025168479362,1121952,1657.1087345352694,854.6125750097326,79170,74646,195,0
2021-08-27,1047,915078,161238,2273.740185511398,970569,1353.8191210835753,344.1506232352573,122499,57585,158,0
2021-08-28,1189,823977,216398,1975.7951025639945,1043942,1667.2070630564974,417.7774829585575,111766,86797,188,0
2021-08-29,1147,836163,147963,2111.0166271923654,1158470,1590.8858078552332,718.6815666566546,68820,53909,156,0
2021-08-30,1063,839770,156261,2422.6369967036944,905676,787.0449641704729,560.9676124720527,64843,83977,162,0
2021-08-31,803,712261,89936,2102.5332615525904,807015,625.8296098356948,282.24852966229815,76285,32120,195,0
2021-09-01,902,550220,93808,1839.3238602415963,879450,1181.5528545345012,299.14636286382625,73964,36080,175,0
2021-09-02,913,572451,151558,1696.4636181008998,843612,1146.971805942653,337.78174442753004,56606,76692,191,0
2021-09-03,1064,844816,172368,2748.9924332943106,1025696,609.2354069568811,357.21717717562603,125552,50008,169,0
2021-09-04,1059,815430,141906,2508.387547372594,954159,1549.2774275935078,638.2162292892887,147201,49773,198,0
2021-09-05,894,574842,177012,1467.4951238022238,894894,509.5569169847637,493.6563301686497,89400,64368,152,0
2021-09-06,909,794466,99081,2213.314736823561,858096,1122.779124049393,288.6684749864858,88173,64539,186,0
2021-09-07,1055,934730,114995,3051.533189026611,918905,567.667735049374,405.81235072420446,89675,31650,187,0
2021-09-08,945,827820,186165,2627.9850064584543,918540,1105.053613598861,561.8549426522442,69930,43470,182,0
2021-09-09,883,666665,147461,1722.0319639460783,755848,696.657157598142,535.1257392624236,64459,76821,182,0
2021-09-10,921,828900,102231,2129.019285008963,895212,575.5270039581297,647.7457778436849,135387,90258,190,0
2021-09-11,1131,804141,137982,3130.7659196121026,1154751,1262.3359550254834,384.429387158871,97266,92742,179,0
2021-09-12,983,683185,178906,2267.0655849552227,898462,1422.2874164229802,579.3953046842435,133688,35388,186,0
2021-09-13,979,659846,115522,2672.8531463167237,874247,1317.270489555168,520.0605990370883,60698,75383,199,0
2021-09-14,1086,785178,174846,2014.0761907348062,1139214,937.3967208127699,373.2089138681079,118374,58644,176,0
2021-09-15,1129,821912,149028,2728.5644413210257,1135774,1541.933315522389,834.4614376962395,117416,64353,179,0
2021-09-16,807,652056,116208,1751.9015891752838,794088,789.1577192275531,342.08837135267686,114594,62946,171,0
2021-09-17,946,816398,146630,2414.691639164633,945054,931.0124396336811,517.4321294380153,53922,66220,154,0
2021-09-18,885,533655,98235,1716.4882195350033,899160,1218.4104608291589,307.7010642343905,68145,31860,163,0
2021-09-19,1035,670680,167670,3010.5967358206935,974970,833.0558987301705,367.7745440585662,64170,54855,188,0
2021-09-20,1169,985467,178857,2368.7098789226034,1053269,1024.1960456887455,697.3140102581922,97027,65464,187,0
2021-09-21,1077,890679,143241,2596.4468713935803,1111464,1345.9191171905502,489.0901155215739,85083,86160,154,0
2021-09-22,1131,826761,220545,3349.655763438853,1076712,1496.1158798799527,711.3253227644537,71253,49764,159,0
2021-09-23,986,638928,160718,1730.1739239553417,1005720,674.0489960557178,558.839893788892,91698,80852,167,0
2021-09-24,1195,1019335,223465,2836.49284901218,1132860,1578.2708435755935,818.2888748440789,158935,113525,184,0
2021-09-25,975,832650,117000,2830.7319730396744,1016925,1306.3294487648243,490.4392798410704,127725,75075,151,0
2021-09-26,912,798000,154128,1498.3381830911835,786144,1204.9814472777218,675.3602304547613,129504,65664,195,0
2021-09-27,1124,714864,132632,2477.4292236257793,958772,1016.6655459463566,684.7942742274945,80928,103408,198,0
2021-09-28,878,571578,174722,2058.7154419952767,820930,1293.6113388530266,429.7121373183367,64094,68484,162,0
2021-09-29,988,688636,126464,2223.186985185545,969228,638.6504005617312,423.3278396834464,84968,34580,195,0
2021-09-30,1027,670631,126321,1661.0191627412023,907868,1209.6045963883337,549.506868276747,119132,85241,172,0
2021-10-01,851,606763,118289,2208.483086679791,862063,1071.5187829106271,340.37542882547535,109779,44252,161,0
2021-10-02,1065,719940,195960,1631.7835448920875,1037310,1301.7540477073185,790.0418211797622,70290,42600,161,0
2021-10-03,1200,966000,132000,1894.41562590423,1236000,1385.1544452789426,926.5255224320538,81600,110400,156,0
2021-10-04,862,551680,149988,1781.943064679523,863724,1038.439670705527,301.7195961143303,81028,57754,186,0
2021-10-05,1141,805546,172291,2936.676390594835,1009785,791.7938408065536,818.1154258668245,149471,49063,189,0
2021-10-06,1087,741334,117396,2180.8650157521165,959821,1593.2424815377542,720.5492262695805,133701,82612,177,0
2021-10-07,970,795400,120280,1550.9024937683264,829350,1212.6316195362965,673.7192372075064,49470,45590,180,0
2021-10-08,1133,777238,137093,2121.454016515375,1031030,1515.2750101795768,400.70037305265174,118965,57783,178,0
2021-10-09,835,538575,108550,1254.1540587370416,751500,523.7026472227709,594.7590547364586,94355,65130,175,0
2021-10-10,1083,973617,211185,2423.334870951212,1050510,1150.608260881965,408.58131203716647,132126,36822,168,0
2021-10-11,1101,888507,133221,1897.2328823370804,997506,1046.725190742585,646.8939513300556,78171,103494,161,0
2021-10-12,930,694710,175770,2588.646950786807,809100,1333.5714450348162,382.69131258732403,54870,42780,154,0
2021-10-13,912,673056,142272,2680.886118780274,786144,871.0813327737224,275.5487290862505,45600,73872,197,0
2021-10-14,1075,766475,147275,1689.2868920831722,1061025,1449.8476704854045,562.3330556072871,82775,103200,193,0
2021-10-15,1005,852240,166830,2569.8019829467485,957765,545.3474518330158,803.5157151641248,63315,71355,177,0
2021-10-16,948,783048,131772,1460.3454355300096,970752,1070.7756961643443,672.0785456485247,57828,50244,153,0
2021-10-17,950,730550,171000,2784.5670589903216,918650,664.3852573562335,686.5514491564595,104500,50350,175,0
2021-10-18,1171,982469,154572,3332.5818344132776,1107766,1295.4326099479108,391.6200077881784,97193,45669,162,0
2021-10-19,975,710775,184275,2804.2543989563937,994500,741.3292911992517,645.7242559000802,67275,54600,191,0
2021-10-20,1016,782320,147320,1792.5558750032021,1022096,898.5167887834132,740.0383703317242,144272,89408,168,0
2021-10-21,1200,1039200,189600,2450.228278958559,1053600,704.4040630090233,759.2598291613629,123600,93600,194,0
2021-10-22,852,728460,128652,2086.489424912771,742092,794.9061044866966,322.08708025018854,74976,60492,170,0
2021-10-23,992,830304,117056,2313.4680634954047,1023744,1431.6169915130235,374.6871270393316,125984,68448,169,0
2021-10-24,860,764540,110080,2064.0804923519477,837640,857.5950931970584,310.8740605037993,43860,61920,198,0
2021-10-25,1001,696696,169169,1954.581418829636,1035034,1124.3593850539194,607.3395492773807,83083,92092,186,0
2021-10-26,1152,876672,129024,2892.4421315032164,986112,1453.1809392868154,572.6601293001644,156672,104832,190,0
2021-10-27,1137,686748,122796,2380.507279214023,988053,1213.719709656112,750.7286504943672,148947,48891,153,0
2021-10-28,954,835704,141192,1487.2085850552105,979758,1338.1733121728969,308.4591697669407,97308,65826,164,0
2021-10-29,908,729124,105328,2714.0813849723504,897104,1354.19195607795,564.5225982711967,105328,45400,156,0
2021-10-30,960,783360,167040,2407.727219044153,970560,1098.4363878704155,473.12672501574093,51840,28800,196,0
2021-10-31,1117,845569,135157,1733.2324202634493,1000832,1615.9193997621153,490.13019737854523,118402,41329,185,0
2021-11-01,1089,787347,182952,1901.7320799805418,955053,769.3254215660896,452.76329880345224,148104,80586,180,0
2021-11-02,1110,705960,152070,1811.50670197328,1053390,655.2226032177308,450.6877125144486,72150,35520,192,0
2021-11-03,980,763420,167580,2699.701031827233,968240,1212.434020212114,543.4405400478236,86240,29400,154,0
2021-11-04,978,671886,158436,1944.6928381282912,1016142,1077.52667092149,667.1019196497572,85086,58680,199,0
2021-11-05,1160,983680,129920,1861.3844784757496,1150720,1564.5414778113197,924.4627266851548,105560,71920,156,0
2021-11-06,853,721638,166335,1658.973865773467,787319,927.6787405677355,433.58412138207984,123685,78476,169,0
2021-11-07,823,575277,93822,1734.691314060152,731647,759.9285771953946,517.3388935424026,106167,77362,157,0
2021-11-08,1031,630972,107224,2187.6882234518507,974295,1265.8920518031555,805.2428946610108,61860,77325,173,0
2021-11-09,1098,787266,162504,2936.7538604492333,1055178,1562.460462701962,529.7131228942239,63684,83448,195,0
2021-11-10,1023,868527,160611,1673.8626818698858,1036299,1365.8316242169922,767.9079147583158,110484,99231,165,0
2021-11-11,1020,847620,183600,2522.5649138880112,1050600,902.7719795983194,379.3545501130015,83640,90780,189,0
2021-11-12,1145,945770,198085,1929.7165668652913,1164465,1686.1672154522837,658.8480721805857,77860,67555,188,0
2021-11-13,862,590470,87062,2434.8827308890823,846484,617.4457419308427,486.67758064938096,118956,35342,182,0
2021-11-14,904,760264,152776,2702.30949576628,919368,862.7202296669516,545.1191637878933,56048,52432,180,0
2021-11-15,935,719015,152405,1574.563733306907,847110,655.2176719769915,712.9987000020634,129965,79475,196,0
2021-11-16,1193,726537,235021,2500.969707427051,1041489,1478.5414356978636,466.3254468082497,138388,68001,185,0
2021-11-17,1161,830115,164862,2140.581248024818,1191186,760.9635601110429,591.829641657202,65016,88236,191,0
2021-11-18,846,511830,87984,2370.635652607672,841770,536.5273164553872,573.8668307153257,90522,25380,187,0
2021-11-19,1045,658350,107635,2044.8245502963505,973940,1561.698357144815,691.7365589316531,101365,98230,172,0
2021-11-20,1051,940645,107202,1839.5542249368382,1101448,1411.0834582573475,523.0753502646078,72519,64111,180,0
2021-11-21,919,643300,162663,1653.8201908517517,918081,630.7670759627164,319.53039513642966,67087,70763,164,0
2021-11-22,823,499561,134149,2384.459767881246,836991,1070.9802558467313,461.73022243045284,51849,52672,169,0
2021-11-23,955,760180,171900,2331.294568130322,973145,563.8474719527284,439.6844056849809,48705,58255,195,0
2021-11-24,1162,965622,183596,3412.217332917483,1035342,1205.1050167529695,727.944405584266,117362,61586,187,0
2021-11-25,1018,830688,107908,2351.20271882071,874462,879.2724657055093,523.3928572330202,91620,81440,174,0
2021-11-26,876,592176,148920,2503.313619747186,779640,819.844700514905,624.3617417018046,96360,32412,160,0
